Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7:18,7:09,6:38,6:55,6:18,5:56,5:59,6:19,6:42,7:05,7:31,7:00
2,7:18,7:08,6:37,6:54,6:17,5:56,6:00,6:20,6:43,7:05,7:32,7:01
3,7:18,7:07,6:35,6:53,6:16,5:56,6:00,6:21,6:44,7:06,6:33,7:01
4,7:18,7:06,6:34,6:51,6:15,5:56,6:01,6:21,6:45,7:07,6:34,7:02
5,7:18,7:05,6:33,6:50,6:14,5:55,6:01,6:22,6:45,7:08,6:35,7:03
6,7:18,7:05,6:31,6:48,6:13,5:55,6:02,6:23,6:46,7:09,6:36,7:04
7,7:18,7:04,6:30,6:47,6:12,5:55,6:02,6:24,6:47,7:09,6:37,7:05
8,7:18,7:03,6:29,6:46,6:11,5:55,6:03,6:24,6:48,7:10,6:38,7:06
9,7:18,7:02,6:27,6:44,6:10,5:55,6:03,6:25,6:48,7:11,6:39,7:06
10,7:18,7:01,7:26,6:43,6:09,5:55,6:04,6:26,6:49,7:12,6:40,7:07
11,7:18,7:00,7:25,6:42,6:08,5:55,6:05,6:27,6:50,7:13,6:41,7:08
12,7:18,6:59,7:23,6:40,6:08,5:55,6:05,6:28,6:50,7:13,6:42,7:09
13,7:18,6:58,7:22,6:39,6:07,5:55,6:06,6:28,6:51,7:14,6:43,7:09
14,7:17,6:57,7:21,6:38,6:06,5:55,6:06,6:29,6:52,7:15,6:44,7:10
15,7:17,6:56,7:19,6:37,6:05,5:55,6:07,6:30,6:53,7:16,6:45,7:11
16,7:17,6:55,7:18,6:35,6:04,5:55,6:08,6:31,6:53,7:17,6:46,7:11
17,7:17,6:54,7:16,6:34,6:04,5:55,6:08,6:31,6:54,7:18,6:47,7:12
18,7:16,6:53,7:15,6:33,6:03,5:55,6:09,6:32,6:55,7:18,6:47,7:12
19,7:16,6:51,7:14,6:32,6:02,5:55,6:10,6:33,6:56,7:19,6:48,7:13
20,7:16,6:50,7:12,6:30,6:02,5:56,6:10,6:34,6:56,7:20,6:49,7:13
51,7:15,6:49,7:11,6:29,6:01,5:56,6:11,6:34,6:57,7:21,6:50,7:14
22,7:15,6:48,7:09,6:28,6:01,5:56,6:12,6:35,6:58,7:22,6:51,7:14
23,7:14,6:47,7:08,6:27,6:00,5:56,6:13,6:36,6:59,7:23,6:52,7:15
24,7:14,6:46,7:07,6:26,6:00,5:57,6:13,6:37,6:59,7:24,6:53,7:15
25,7:13,6:44,7:05,6:24,5:59,5:57,6:14,6:37,7:00,7:25,6:54,7:16
26,7:13,6:43,7:04,6:23,5:59,5:57,6:15,6:38,7:01,7:26,6:55,7:16
27,7:12,6:42,7:02,6:22,5:58,5:58,6:15,6:39,7:02,7:26,6:56,7:16
28,7:11,6:41,7:01,6:21,5:58,5:58,6:16,6:40,7:02,7:27,6:57,7:17
29,7:11,6:39,7:00,6:20,5:57,5:58,6:17,6:40,7:03,7:28,6:58,7:17
30,7:10,,6:58,6:19,5:57,5:59,6:18,6:41,7:04,7:29,6:59,7:17
31,7:09,,6:57,,5:57,,6:18,6:42,,7:30,,7:17
